ID,Question,Option 1,Option 2,Option 3,Option 4,Subject,Answers
1,Which of the following is the main point of Darwinism,Movement A ear,Shedding of milk teeth,Muscle atrophy,Snake’s legs,Biology,A
2,"According to evolutionary studies, prokaryotes may have arisen around:",3.5 billion years ago,4.5 billion years ago,2.5 billion years ago,5.5 billion years ago,Biology,B
3,The enzyme which can work on Ph 7 of the medium is,Pepsin,Chymotrypsin,Sucrase,Pancreatic lipase,Biology,C
4,Which enzyme is different from others,Pepsin,Trypsin,Chymotrypsin,Lactase,Biology,D
5,Competitive inhibitors are _____ .,Analogous A substrate,Smaller than substrate,Larger than substrate,Homologous to substrate,Biology,A
6,The active sites of enzymes are composed of,Few Saccharides,Few Nucleosides,Few Nucleotides,Few Amino Acids,Biology,B
7,NAD is an important,Vitamin,Coenzyme,Hormone,Enzyme,Biology,C
8,What is true about Oxytocin,Perform cellular fun,Acts on kidney tubules,Stimulates ICSH,Dilate milk ducts of mammary glands,Biology,D
9,"In a typical nerve, the action potential duration is:",1 second,1 millisecond,1 microsecond,1 minute,Biology,A
10,During resting membrane potential condition:,Inner surface of neuron is more positive,Outer surface of neuron is more positive,Both of these surfaces are equally negative,Both of these surfaces are equally positive,Biology,B
11,The value of active membrane potential of the neuron is:,0.02 volts,0.05 volts,0.07 volts,0.01 volts,Biology,C
12,The chemical messengers that transmit action potential across the synapse in the form of chemicals are,Neurotransmitters,Reflex actions,Acetylcholinesterase,Synaptic knob of synapse,Biology,D
13,The pressure receptors the receive deep pressure stimulus A human body are called:,Pacinian Corpuscles,Cholesterol,Meissner Corpuscles,Red Blood Corpuscles,Biology,A
14,Cells of different types can be distinguished on the basis of surface,Glycolipids and glycoproteins,Globular proteins,Phospholipids,Cholesterol,Biology,B
15,"Mitosis, a type of cell division is observed in:",Blue green algae,E .Coli,Nostoc,Cyanobacteria,Biology,C
16,Which of the following type of organs are supposed to be functional in ancestral species rather than in present day species:,Vestigial organs,Embryonic organs,Homologous organs,Analogous organs,Biology,D
17,Which of the following is the main point of Darwinism,Variation,Over production,Disuse of organ,Perceived unity of life,Biology,A
18,Descending aorta is bifurcated into two vessels which on further division from femoral artery that supply blood to high muscles of legs:,Iliac artery,Temporal artery,Iliac vein,Sciatic artery,Biology,B
19,The final destination of lymph is:,Lymph node,Subclavian vein,Lymphoid organs,Lymph capillaries,Biology,C
20,ABO blood group is controlled by more than two alleles in a population. This shows that ABO blood group is an example of:,Operons,Polygenic Inheritance,Allelic interaction,Multiple Alleles,Biology,D
21,"According to Mendel Law of Segregation, the one individual out of four in F2 generation had phenotype that failed to express in _____ generation",F2,F3,F1,P1,Biology,A
22,Test cross is made to check the genotype of a trait. Which of the following crosses is a test cross:,Unknown x tt,Unknown x At,Unknown x AB,Unknown x TT,Biology,B
23,"During sliding of actin filaments, ATP is used for",Shortening of filament,Dragging filaments,Cross bridge breaking,Cross bridge formation,Biology,C
24,The cell membrane of muscle cell is:,Myofibrils,Sarcoplasm,Sarcolemma,Sarcomere,Biology,D
25,Irregular striations and involuntary control is related to,Skeletal muscle cells,Cardiac muscle cells,Fibroelastic cartilage cell,Smooth muscle cells,Biology,A
26,Cartilage is a type of which tissue,Epithelial tissues,Nervous tissues,Muscular tissues,Connective tissues,Biology,B
27,Production of Follicle-stimulating hormone (FSH) and Luteinizing Hormone (LH) from the pituitary gland of female is controlled by:,Hypothalamus,Uterus,Ovary,Stimulated follicles,Biology,C
28,The term menopause means:,Start of ovulation,Degeneration of ovaries,Stop of ova production,Start of menstruation,Biology,D
29,"To study sex linkages in Drosophila, Morgan mated white eyed males with wild type red eyed females. What will be the phenotype of offspring",White eyed females and red eyed males,Red eyed females and white eyed males,All red eyed males and females,All white eyed females and males,Biology,A
30,Enteron is the characteristic feature of:,Phylum Cnidaria,Phylum Porifera,Phylum Plathehelminthes,Phylum Echinodermata,Biology,B
31,The body of which is called metamerically segmented,Nematodes,Sponges,Cnidarians,Annelids,Biology,C
32,Excretion in Planaria takes place by,Metanephridia,Malpighian tubules,Protonephridia,Nephron,Biology,D
33,Four chambered heart with right systemic arch only is present in,Birds,Amphibians,Mammals,Reptiles,Biology,A
34,The movement of water to lower solute concentration area through a semipermeable membrane is,Osmotic Potential,Solute potential,Soil potential,Pressure potential,Biology,B
35,_____ describes how water and dissolved chemicals are carried through the cell wall and intercellular gaps of plants,Vacuolar Theory,Cytoplasmic Theory,Symplast Theory,Apoplast Theory,Biology,C
36,Feeding by living in or on the other organic (host) belonging to different species is called,Mineral nutrition,Parasitic nutrition,Saprophytic nutrition,Symbiotic nutrition,Biology,D
37,What of the following virus contains single stranded DNA,Adeno virus,Herpes virus,Pox virus,Parvo virus,Biology,A
38,Which one of the following is X Linked Dominant disorder,Hypertrichosis,Color blindness,Hypophosphatemic rickets,Haemophilia,Biology,B
39,Only those genes can assort independently whose loci are on:,Homologous chromosomes,Same chromosomes,Non-homologous chromosomes,Same chromatids,Biology,C
40,Smooth muscles are found in all mentioned below except:,Trachea,Bronchioles,Bronchi,Alveoli,Biology,D
41,The method of bringing oxygenated air into contact with a gas exchange surface is called,Ventilation,Respiration,Photorespiration,Gas transport,Biology,A
42,Number of layers of cell wall in Gram positive bacteria is,2,3,4,1,Biology,B
43,Helicobacter pylori is an example of,Pleomorphic,Spiral,Bacilli,Cocci,Biology,C
44,Bacterial cell have ability to maintain its shape through,Cell wall,Capsule,Cell wall & slime,Slime,Biology,D
45,Which of the following is an example of spiral shaped bacteria,Escherichia coli,Pseudomonas,Hyphomicrobium,Diplococcus pneumoniae,Biology,A
46,All the following are disinfectants to control bacterial growth except:,Hydrogen Peroxide,Potassium Permanganate,Tincture of Iodine,Mercuric Chloride,Biology,B
47,The function of hyaluronidase enzyme is:,Entrance of the sperm into the vagina tube,Entrance of the sperm into the fallopian,Penetration of the sperm into the ovum,Inactivation of sperms after their failure to fertilize ovum,Biology,C
48,"In human females what is the small, pear-shaped, muscular, distensible, sac-like organ where gestation takes place",Stomach,Fallopian tube,Kidney,Uterus,Biology,D
49,The labor pains to expel fetus are due to action of oxytocin on:,Myometrium,Ovaries,Perimetrium,Endometrium,Biology,A
50,Virus is what type of agent,Non-infectious agent,Infectious agent,Non-Protein agent,Cellular agent,Biology,B
51,The molecule used to control virus during infection of animal cell are,Histone,Serum,Antigen,Interferon,Biology,C
52,The provirus of HIV is structurally and chemically made up of,dsRNA,ssRNA,dsDNA,ssDNA,Biology,D
53,Which of the following is used in baking,Aerobic respiration,Internal respiration,External respiration,Anaerobic respiration,Biology,A
54,Which is the major event in electron transport chain,ATP synthesis,Isomerization,Decarboxylation,Substitution,Biology,B
55,"Out of 36 ATPs, how many are produced in electron transport chain",28,32,34,30,Biology,C
56,The major enzymes involved in transfer of phosphate group from ATP to Glucose is:,Decarboxylase,Isomerase,Dehydrogenase,Kinase,Biology,D
57,_____ forms almost three-fourth of the body by weight,Water,Protein,Carbohydrates,Lipid,Biology,A
58,"Energy is by the breakdown of complex molecules into simpler ones, such reactions are called catabolic reactions",Destroyed,Consumed,Released,Produced,Biology,B
59,"Biologically, _____ plays key roles in maintaining the integrity of lipid bilayer membranes",Heat of vaporization,Hydrophobic exclusion,Specific heat capacity,Hydrophilic exclusion,Biology,C
60,The specific heat of vaporization of water plays an important role in the regulation of heat produced by,Redox,Oxidation,None of above,Reduction,Biology,D
61,Which type of bond must be broken for water to vaporize,Covalent bonds,Polar covalent bonds,Hydrogen bonds,Non-polar covalent bonds,Biology,A
62,Which statement is true about regarding both starch and cellulose,They are geometric isomers of each other,They are both polymers of glucose,They are both used for energy storage in plants,They can both be digested by humans,Biology,B
63,Most of the monosaccharides form a ring structure when in solution. For example ribose will form a five cornered ring known as:,Ribofuranose,Acetaldehyde,Glucopyranose,Glyceraldehyde,Biology,C
64,Number of major layer/layers of cell wall in gram positive bacteria is/are:Note: This question was deleted,1,2,4,3,Biology,D
